"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 19:50:49 GMT 2024","Mon Sep 02 19:50:49 GMT 2024","565","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","incorrectEmailLoginTest","incorrectEmailLoginTest",""
"passed","Mon Sep 02 19:50:51 GMT 2024","Mon Sep 02 19:50:52 GMT 2024","1100","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","shortSuccessfulLoginTest","shortSuccessfulLoginTest",""
