"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 20:58:12 GMT 2024","Mon Sep 02 20:58:13 GMT 2024","721","Main Suite","Smoke","tests.LoginTestSmoke","tests.LoginTestSmoke","incorrectEmailLoginTest","incorrectEmailLoginTest",""
"passed","Mon Sep 02 20:58:14 GMT 2024","Mon Sep 02 20:58:16 GMT 2024","1124","Main Suite","Smoke","tests.LoginTestSmoke","tests.LoginTestSmoke","shortSuccessfulLoginTest","shortSuccessfulLoginTest",""
